scene,split,views,selection,iterations,resolution,status,runtime_sec,train_psnr,train_l1,initial_points,model_path,run_report
db/playroom,3views_random,3,random,3000,4,success,33.41544299999987,50.6171012878418,0.0019816657062619925,3760,results\method_outputs\db\playroom\3dgs_sparse\3views_random,results\method_outputs\db\playroom\3dgs_sparse\3views_random\run_report.json
db/playroom,3views_random_seed0,3,random_seed0,3000,4,success,35.56457159999991,49.027033233642584,0.002298193424940109,2965,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed0\run_report.json
db/playroom,3views_random_seed1,3,random_seed1,3000,4,success,37.08702169999742,49.02267532348633,0.0021266548894345763,1363,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed1\run_report.json
db/playroom,3views_random_seed2,3,random_seed2,3000,4,success,33.32047469999816,47.55466690063477,0.0026842569932341576,2756,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed2,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed2\run_report.json
db/playroom,3views_random_seed3,3,random_seed3,3000,4,success,31.809404799998447,49.06444244384766,0.0024307013489305975,832,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed3,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed3\run_report.json
db/playroom,3views_random_seed4,3,random_seed4,3000,4,success,41.31707059999462,48.861103820800786,0.002344076125882566,3776,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed4,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed4\run_report.json
db/playroom,3views_uniform,3,uniform,3000,4,success,25.23894409999957,50.31269989013672,0.0020391576923429965,3043,results\method_outputs\db\playroom\3dgs_sparse\3views_uniform,results\method_outputs\db\playroom\3dgs_sparse\3views_uniform\run_report.json
db/playroom,5views_quality,5,quality,3000,4,success,65.42826160000004,43.79724884033203,0.0036586353089660406,7662,results\method_outputs\db\playroom\3dgs_sparse\5views_quality,results\method_outputs\db\playroom\3dgs_sparse\5views_quality\run_report.json
db/playroom,5views_quality_diverse,5,quality_diverse,3000,4,success,45.846516300000076,45.964202880859375,0.003166512120515108,8590,results\method_outputs\db\playroom\3dgs_sparse\5views_quality_diverse,results\method_outputs\db\playroom\3dgs_sparse\5views_quality_diverse\run_report.json
db/playroom,5views_quality_image_diverse,5,quality_image_diverse,3000,4,success,84.52623809999932,43.41465377807617,0.0036681760102510452,7662,results\method_outputs\db\playroom\3dgs_sparse\5views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\5views_quality_image_diverse\run_report.json
db/playroom,5views_random,5,random,3000,4,success,31.858074699999634,47.058494567871094,0.002753256121650338,5669,results\method_outputs\db\playroom\3dgs_sparse\5views_random,results\method_outputs\db\playroom\3dgs_sparse\5views_random\run_report.json
db/playroom,5views_random_seed0,5,random_seed0,3000,4,success,39.14989280000009,48.8018798828125,0.002603749744594097,2136,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed0\run_report.json
db/playroom,5views_random_seed1,5,random_seed1,3000,4,success,49.42718230000173,48.559844970703125,0.0025542830117046833,3355,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed1\run_report.json
db/playroom,5views_random_seed2,5,random_seed2,3000,4,success,43.21001149999938,49.09666061401367,0.0022936933673918247,5502,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed2,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed2\run_report.json
